;Entity;Meat, Total | tonnes;Duck | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Chicken | tonnes
7208;Morocco;1338097.0;0.0;0.0;210888.0;283002.0;626.0;841562.0
7267;Mozambique;222394.0;3453.0;0.0;2384.0;14866.0;91584.0;108088.0
7326;Myanmar;3357313.0;178832.0;6881.0;135348.0;483211.0;1092708.0;1458314.0
7385;Namibia;67265.0;0.0;0.0;11482.0;31277.0;6590.0;15897.0
7444;Nepal;408848.0;352.0;0.0;76677.0;238322.0;28579.0;62899.0
7562;Netherlands;3106499.0;0.0;0.0;15530.0;424300.0;1628290.0;1036360.0
7621;New Caledonia;8667.0;0.0;0.0;16.0;3214.0;2791.0;627.0
7680;New Zealand;1421074.0;650.0;129.0;450915.0;683923.0;44129.0;239309.0
7739;Nicaragua;304000.0;0.0;0.0;60.0;148488.0;13925.0;139508.0
7798;Niger;130148.0;0.0;0.0;49462.0;57460.0;1518.0;19689.0
7857;Nigeria;1292599.0;0.0;0.0;422196.0;327901.0;300453.0;240030.0
7916;North America;63391108.0;94343.0;1013.0;224984.0;16600361.0;16890367.0;29578021.0
7975;North Korea;198957.0;13543.0;0.0;14803.0;20836.0;117595.0;30161.0
8003;North Macedonia;24368.0;0.0;0.0;3392.0;4083.0;13384.0;1490.0
8239;Norway;352730.0;661.0;0.0;24628.0;87008.0;132242.0;106172.0
8298;Oceania;6375707.0;17648.0;129.0;1203601.0;3048670.0;560116.0;1543524.0
8387;Oman;72062.0;0.0;0.0;48508.0;15033.0;0.0;6502.0
8446;Pakistan;4478141.0;5122.0;0.0;732000.0;2221000.0;0.0;1518000.0
8505;Panama;345757.0;0.0;0.0;0.0;74176.0;39940.0;229622.0
8515;Papua New Guinea;93736.0;16.0;0.0;43.0;3112.0;81942.0;6604.0
8574;Paraguay;621798.0;1917.0;310.0;2508.0;481693.0;58672.0;74679.0
8633;Peru;2169937.0;0.0;0.0;38883.0;192920.0;173259.0;1762856.0
8692;Philippines;3352943.0;22578.0;384.0;33715.0;200643.0;1607656.0;1485948.0
8751;Poland;5120188.0;61880.0;0.0;1150.0;560500.0;1988840.0;2505799.0
8810;Polynesia;8940.0;32.0;0.0;103.0;867.0;4600.0;1319.0
