;Entity;Code;Year;Cattle | Produced;Goat | Produced;Chicken | Produced;Turkey | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | tonnes;Game | tonnes;Duck | tonnes;Horse | tonnes;Camel | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Poultry | tonnes
4900;Iceland;ISL;2019;22728.0;;5809000.0;;79046.0;559596.0;35179;;;1085.0;;;9719.0;4826.0;6533.0;9908.0
4959;India;IND;2019;8889697.0;55026858.0;2738174000.0;;10234917.0;23014357.0;8139597;;43930.0;;;;826707.0;2539921.0;358224.0;4223893.0
5018;Indonesia;IDN;2019;1683668.0;6966245.0;4916187000.0;;10945544.0;7558353.0;4886833;;46564.0;1848.0;;;142925.0;529591.0;236277.0;3975489.0
5077;Iran;IRN;2019;820259.0;1599187.0;1779614000.0;2058000.0;;5867576.0;2835412;5263.0;2924.0;;5824.0;2632.0;252319.0;373863.0;;2198143.0
5136;Iraq;IRQ;2019;153878.0;590967.0;111662000.0;;;1893687.0;245185;;;;1690.0;;56970.0;38317.0;;148208.0
5195;Ireland;IRL;2019;1852510.0;0.0;96247000.0;1299000.0;3457210.0;3050200.0;1147379;;;;;;66040.0;619800.0;304370.0;153990.0
5254;Israel;ISR;2019;447434.0;319849.0;505458000.0;15984000.0;166000.0;441845.0;785165;;2243.0;;87.0;3133.0;13429.0;141138.0;13600.0;616911.0
5313;Italy;ITA;2019;2729600.0;152940.0;569767000.0;28536000.0;11642620.0;2814860.0;3690036;;1890.0;5767.0;;25.0;34150.0;801097.0;1464490.0;1357885.0
5372;Jamaica;JAM;2019;26566.0;41965.0;81492000.0;;121999.0;243.0;150586;;;41.0;;;773.0;7118.0;8355.0;134299.0
5431;Japan;JPN;2019;1046484.0;2493.0;802588000.0;4000.0;16319598.0;6344.0;4054681;;;4102.0;;;226.0;470918.0;1278886.0;2297897.0
5490;Jordan;JOR;2019;123032.0;423770.0;261120000.0;90000.0;;1847207.0;255429;;111.0;;666.0;3.0;27804.0;41981.0;;184955.0
5518;Kazakhstan;KAZ;2019;2857735.0;1076147.0;129514000.0;;1176218.0;7653554.0;1111988;;;131969.0;6839.0;;171361.0;501249.0;86353.0;214111.0
5577;Kenya;KEN;2019;3080832.0;7346748.0;38551000.0;;413483.0;3955941.0;649070;29221.0;;;79890.0;;106738.0;329187.0;14441.0;88719.0
5636;Kiribati;KIR;2019;;;1062000.0;;24877.0;;1965;;;;;;;;1009.0;956.0
5695;Kuwait;KWT;2019;10322.0;41943.0;45486000.0;;;3069858.0;120725;;;;2919.0;;53713.0;2906.0;;61187.0
5723;Kyrgyzstan;KGZ;2019;611473.0;376643.0;5240000.0;;187567.0;2772507.0;234525;;;24605.0;;;74672.0;111463.0;14124.0;9514.0
5841;Laos;LAO;2019;283446.0;182742.0;41452000.0;;3351066.0;;191064;;4567.0;;;279.0;2559.0;57193.0;93109.0;38203.0
5869;Latvia;LVA;2019;83650.0;3950.0;20616000.0;;496380.0;57880.0;93035;;;60.0;;;1020.0;16370.0;40680.0;34860.0
5987;Lebanon;LBN;2019;230641.0;168461.0;64626000.0;;13985.0;173998.0;185216;;;;;;8474.0;47886.0;769.0;128087.0
6046;Lesotho;LSO;2019;9280.0;27699.0;1921000.0;;13036.0;46050.0;9551;5285.0;;;;;685.0;1392.0;652.0;1537.0
6105;Liberia;LBR;2019;9347.0;124208.0;17067000.0;;287506.0;91987.0;39673;7796.0;368.0;;;;2183.0;1168.0;13318.0;15208.0
6115;Libya;LBY;2019;35754.0;836368.0;106524000.0;;;2088514.0;183946;;;;4596.0;;43739.0;7019.0;;128592.0
6143;Lithuania;LTU;2019;170360.0;6500.0;54518000.0;356000.0;967360.0;81000.0;223186;;46.0;239.0;;54.0;1160.0;44180.0;77660.0;99658.0
6261;Low-income countries;;2019;21432815.0;83137146.0;973120000.0;3292000.0;24239769.0;64989041.0;7368666;332075.0;118267.0;5199.0;258763.0;12829.0;1871366.0;2520397.0;804192.0;1263702.0
6320;Lower-middle-income countries;;2019;59204035.0;219710766.0;18745454000.0;36364000.0;136234689.0;150927289.0;51145398;1136093.0;613204.0;132447.0;155850.0;33785.0;4685369.0;12725774.0;8470854.0;23295103.0
6340;Luxembourg;LUX;2019;28210.0;240.0;0.0;0.0;157950.0;2400.0;23291;;0.0;1.0;;;50.0;10250.0;12960.0;0.0
6399;Macao;MAC;2019;2029.0;3200.0;3773000.0;;63039.0;;9710;;14.0;;;61.0;25.0;818.0;5474.0;3393.0
6458;Madagascar;MDG;2019;299280.0;190050.0;63089000.0;3263000.0;381030.0;72770.0;162636;7474.0;12431.0;6.0;;12777.0;4731.0;37410.0;26672.0;85627.0
6517;Malawi;MWI;2019;509748.0;6427795.0;41577000.0;;13582215.0;152286.0;481311;;;;;;50905.0;55158.0;270000.0;105248.0
6576;Malaysia;MYS;2019;87179.0;62029.0;622459000.0;;2012398.0;40580.0;1926451;;66212.0;142.0;;;4200.0;44025.0;222791.0;1655293.0
6635;Mali;MLI;2019;472113.0;801390.0;72257000.0;;20225.0;463614.0;158277;24553.0;;2945.0;296.0;;16077.0;54554.0;1009.0;55304.0
6694;Malta;MLT;2019;3700.0;1420.0;2338000.0;0.0;51580.0;6290.0;9670;;0.0;;;;180.0;1030.0;4410.0;3990.0
6753;Mauritania;MRT;2019;232124.0;1253967.0;6058000.0;;0.0;2385637.0;118628;;;568.0;25824.0;;55611.0;29441.0;0.0;4608.0
6812;Mauritius;MUS;2019;7303.0;1550.0;48417000.0;1000.0;8865.0;1002.0;54194;625.0;45.0;;;54.0;42.0;1798.0;601.0;51103.0
