Entity;Year;Cattle | Produced;Goat | Produced;Chicken | Produced;Turkey | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | tonnes;Game | tonnes;Duck | tonnes;Horse | tonnes;Camel | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Poultry | tonnes
Saint Kitts and Nevis;2019.0;306.0;643.0;0.0;;1392.0;706.0;112.0;;;;;;16.0;55.0;41.0;0.0
Saint Lucia;2019.0;2286.0;4183.0;1150000.0;;5001.0;4971.0;2725.0;;;;;;154.0;419.0;825.0;1327.0
Saint Vincent and the Grenadines;2019.0;935.0;2776.0;455000.0;;6624.0;3793.0;1131.0;;;;;;80.0;199.0;397.0;455.0
Samoa;2019.0;2509.0;;380000.0;;39475.0;;2073.0;;;;;;;383.0;1386.0;304.0
Sao Tome and Principe;2019.0;1069.0;1320.0;915000.0;3000.0;9678.0;463.0;1348.0;;38.0;;;;11.0;192.0;534.0;611.0
Saudi Arabia;2019.0;294912.0;2281040.0;632376000.0;;;4368306.0;1075694.0;;;;108184.0;;123860.0;43000.0;;800650.0
Senegal;2019.0;485358.0;2087850.0;80851000.0;;348694.0;2472966.0;284716.0;64.0;;7213.0;6.0;;52341.0;79755.0;18764.0;116492.0
Serbia;2019.0;288524.0;238591.0;72375000.0;123000.0;5538210.0;1517031.0;515903.0;;;;;;35668.0;65008.0;301590.0;113577.0
Serbia and Montenegro;2005.0;606000.0;80000.0;43632000.0;1260000.0;6934111.0;1145933.0;831654.0;1200.0;3000.0;800.0;;7200.0;22645.0;156000.0;562000.0;88575.0
Seychelles;2019.0;54.0;1996.0;350000.0;;5519.0;;1056.0;;6.0;;;;22.0;11.0;450.0;573.0
Sierra Leone;2019.0;40266.0;204015.0;20644000.0;;25135.0;179746.0;45889.0;3288.0;1279.0;;;;3712.0;10079.0;1458.0;19499.0
Slovakia;2019.0;38120.0;27860.0;46559000.0;;780110.0;28790.0;155252.0;;;;;;770.0;10710.0;72350.0;71407.0
Slovenia;2019.0;116300.0;24060.0;38325000.0;516000.0;331540.0;97840.0;139915.0;;0.0;255.0;;;1710.0;35740.0;32210.0;70000.0
Small Island Developing States (FAO);2019.0;1579109.0;957760.0;581127000.0;340000.0;9478289.0;2454277.0;2209306.0;414191.0;5918.0;5472.0;85.0;93.0;57526.0;242001.0;531664.0;933248.0
Solomon Islands;2019.0;4159.0;;350000.0;;64038.0;;3611.0;;;;;;;769.0;2562.0;280.0
South Africa;2019.0;3089000.0;706968.0;966126000.0;710000.0;3238000.0;5429259.0;3366710.0;47466.0;1183.0;1397.0;;502.0;185679.0;1036820.0;279776.0;1815572.0
South America;2019.0;60278842.0;5954823.0;9344430000.0;100140000.0;73369243.0;15154153.0;45367748.0;59104.0;22332.0;68495.0;;1060.0;324584.0;16437148.0;6441700.0;21964585.0
South America (FAO);2019.0;60278842.0;5954823.0;9344430000.0;100140000.0;73369243.0;15154153.0;45367748.0;59104.0;22332.0;68495.0;;1060.0;324584.0;16437148.0;6441700.0;21964585.0
South Korea;2019.0;887000.0;124386.0;1026388000.0;;17825000.0;327.0;2607165.0;;95200.0;;;13.0;1871.0;286000.0;1364000.0;951213.0
South-eastern Asia (FAO);2019.0;7894878.0;18507390.0;9924380000.0;412000.0;113130806.0;8796739.0;21931582.0;;551243.0;4003.0;;8196.0;342297.0;1992947.0;7605518.0;11924486.0
Southern Africa (FAO);2019.0;3470295.0;1474135.0;992210000.0;710000.0;3407957.0;6123442.0;3546060.0;85391.0;1183.0;1397.0;;502.0;205753.0;1119967.0;288774.0;1843005.0
Southern Asia (FAO);2019.0;22558225.0;139552537.0;6354168000.0;2058000.0;11033259.0;49943046.0;17085952.0;13268.0;108622.0;;15538.0;2632.0;2251687.0;5699699.0;389224.0;8484978.0
Southern Europe (FAO);2019.0;6756829.0;5088871.0;1833389000.0;62117000.0;79807337.0;23539603.0;13260886.0;;18050.0;16735.0;;456.0;348203.0;1827673.0;7073145.0;3909795.0
Spain;2019.0;2510770.0;1303400.0;716259000.0;27482000.0;52982310.0;10060050.0;7164132.0;;5600.0;9632.0;;;131760.0;695170.0;4641160.0;1630610.0
Sri Lanka;2019.0;158723.0;48316.0;147256000.0;;18074.0;6073.0;215021.0;;17.0;;;;1088.0;25298.0;1308.0;187327.0
Sudan;2019.0;3562000.0;13444000.0;33510000.0;;;15400000.0;994345.0;;;;146000.0;;385000.0;388345.0;;75000.0
Sudan (former);2009.0;2810000.0;18875000.0;28000000.0;;;24781000.0;1009730.0;9382.0;;;124600.0;;464000.0;341000.0;;28000.0
Suriname;2019.0;8318.0;579.0;6671000.0;;31747.0;1157.0;15384.0;;800.0;;;;20.0;1656.0;2235.0;11473.0
Sweden;2019.0;441780.0;1390.0;103451000.0;497000.0;2586030.0;270620.0;547267.0;;;;;;5550.0;141150.0;241490.0;158180.0
Switzerland;2019.0;615963.0;41307.0;76343000.0;349000.0;2461742.0;243962.0;475722.0;2157.0;;481.0;;;6192.0;144899.0;220818.0;100335.0
Syria;2019.0;450618.0;435661.0;96726000.0;29000.0;;4044280.0;304273.0;;25.0;;670.0;52.0;127154.0;52488.0;;123929.0
Taiwan;2019.0;33986.0;67037.0;370644000.0;160000.0;7979588.0;;1560354.0;;87488.0;;;12091.0;1876.0;7206.0;819735.0;730694.0
Tajikistan;2019.0;950594.0;;3474000.0;;7530.0;5960455.0;366760.0;;;;;;86428.0;272521.0;1193.0;4682.0
Tanzania;2019.0;3276750.0;3493803.0;109137000.0;;372932.0;2000165.0;696533.0;23927.0;1330.0;;;;70229.0;506798.0;14917.0;80662.0
Thailand;2019.0;898098.0;122262.0;1298517000.0;;12196582.0;12122.0;2864676.0;;63532.0;;;652.0;1994.0;162905.0;895380.0;1804397.0
Timor;2019.0;17109.0;51839.0;1416000.0;;323272.0;4015.0;35556.0;;;;;;492.0;2219.0;12931.0;1133.0
Togo;2019.0;45970.0;952429.0;47965000.0;;651290.0;367842.0;85668.0;6051.0;;;;;12623.0;5746.0;19540.0;41708.0
Trinidad and Tobago;2019.0;6361.0;3021.0;32291000.0;;39798.0;10392.0;64914.0;;;;;;118.0;1073.0;1928.0;61784.0
Tunisia;2019.0;237134.0;709378.0;86620000.0;12248000.0;2445.0;3109130.0;346314.0;525.0;;552.0;1457.0;;64500.0;44700.0;127.0;227236.0
Turkey;2019.0;3633730.0;836376.0;1207088000.0;6188000.0;87.0;5057026.0;3405667.0;;611.0;1021.0;;3188.0;125918.0;1075552.0;;2201890.0
Turkmenistan;2019.0;809337.0;658889.0;16127000.0;;4500.0;8281500.0;304362.0;;;;;;136551.0;146226.0;249.0;20171.0
USSR;1991.0;40300000.0;1875000.0;2379000000.0;;75000000.0;57692000.0;18500700.0;;;12000.0;;;915500.0;8261000.0;5997300.0;3093100.0
Uganda;2019.0;1169442.0;3035840.0;50070000.0;;2072248.0;688799.0;438692.0;;;;;;45493.0;166515.0;129389.0;68488.0
Ukraine;2019.0;2127500.0;389400.0;717546000.0;2527000.0;8040000.0;475800.0;2500801.0;;28946.0;7700.0;;9570.0;13900.0;369500.0;708300.0;1389801.0
United Arab Emirates;2019.0;72757.0;3698952.0;41757000.0;;;233670.0;163591.0;;;;37045.0;;63427.0;18189.0;;44930.0
United Kingdom;2019.0;2826000.0;;1108000000.0;12100000.0;11107000.0;14852000.0;4075399.0;4744.0;27900.0;2955.0;;2680.0;307000.0;914000.0;957000.0;1887580.0
United States;2019.0;34264800.0;675200.0;9339249000.0;227660000.0;129990000.0;2413200.0;48133177.0;264755.0;64107.0;19226.0;;;79446.0;12348749.0;12542865.0;22878136.0
Upper-middle-income countries;2019.0;131139848.0;167820082.0;30319687000.0;101679000.0;716747590.0;241875135.0;155605093.0;167211.0;3536584.0;443286.0;42285.0;2665046.0;6436888.0;29813594.0;57039763.0;60118251.0
Uruguay;2019.0;2231997.0;;29535000.0;135000.0;142761.0;857117.0;649220.0;442.0;243.0;9357.0;;144.0;17658.0;580320.0;10000.0;31036.0
Uzbekistan;2019.0;5269439.0;;28294000.0;;49463.0;8822140.0;1190749.0;;;6290.0;1959.0;;165806.0;944724.0;4755.0;64313.0
Vanuatu;2019.0;10581.0;3255.0;710000.0;;66264.0;;6121.0;;;30.0;;;33.0;1949.0;3399.0;710.0
Venezuela;2019.0;1654997.0;529490.0;249389000.0;;1708910.0;201778.0;924380.0;;;;;;10147.0;361453.0;124514.0;428154.0
Vietnam;2019.0;1794421.0;1399055.0;551069000.0;;42192969.0;;4971673.0;;154175.0;1350.0;;;20993.0;449767.0;3328822.0;1144554.0
Western Africa (FAO);2019.0;7238879.0;43956800.0;777038000.0;;10984538.0;31911589.0;3513659.0;490594.0;1647.0;11966.0;37112.0;;782553.0;892754.0;459887.0;730446.0
Western Asia (FAO);2019.0;8939087.0;17445744.0;3346523000.0;22323000.0;1390260.0;35605538.0;7778128.0;;3090.0;1121.0;172472.0;6376.0;943216.0;1797269.0;92613.0;4769315.0
Western Europe (FAO);2019.0;12234833.0;1005537.0;2478073000.0;76027000.0;113744452.0;7041642.0;19575197.0;2157.0;253630.0;9790.0;;5916.0;154902.0;3608269.0;10835438.0;4919491.0
World;2019.0;297494092.0;486433209.0;72452120000.0;619937000.0;1343677013.0;576088821.0;335456062.0;1945324.0;5013398.0;717083.0;623403.0;2774481.0;15550194.0;72039812.0;109635731.0;132386027.0
Yemen;2019.0;1260039.0;7531075.0;189455000.0;;;4151645.0;400104.0;;;;2941.0;;131214.0;75602.0;;190347.0
Yugoslavia;1991.0;2312892.0;;257600000.0;2250000.0;10886009.0;5195000.0;1315274.0;7000.0;400.0;270.0;;3720.0;56850.0;301383.0;716400.0;233371.0
Zambia;2019.0;1183931.0;864231.0;48588000.0;;636187.0;67541.0;321816.0;40326.0;;;;;11781.0;191038.0;27962.0;50709.0
Zimbabwe;2019.0;235027.0;2060377.0;58333000.0;30000.0;193820.0;31884.0;194412.0;36623.0;52.0;;;;25180.0;53560.0;10651.0;67260.0
