Entity;Year;Cattle | Produced;Goat | Produced;Chicken | Produced;Turkey | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | tonnes;Game | tonnes;Duck | tonnes;Horse | tonnes;Camel | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Poultry | tonnes
Canada;2019.0;3600700.0;;772689000.0;19812000.0;21841300.0;721300.0;5114646.0;;8950.0;22232.0;;974.0;16951.0;1393831.0;2173209.0;1505806.0
Cape Verde;2019.0;4434.0;33210.0;600000.0;;46225.0;3683.0;4807.0;;;;;;1016.0;692.0;2311.0;788.0
Caribbean (FAO);2019.0;1355672.0;622114.0;390858000.0;207000.0;5885421.0;786191.0;1263068.0;;198.0;5397.0;;39.0;21845.0;208659.0;371290.0;650432.0
Central African Republic;2019.0;606074.0;1222598.0;7341000.0;;610224.0;163603.0;183876.0;22460.0;;;;;26893.0;97501.0;19390.0;6715.0
Central America (FAO);2019.0;11384670.0;2229180.0;2566671000.0;2975000.0;23153054.0;3265735.0;9284698.0;;21088.0;82369.0;;;106742.0;2649122.0;1803003.0;4639003.0
Central Asia (FAO);2019.0;10498578.0;2111679.0;182649000.0;;1425278.0;33490156.0;3208384.0;;;162864.0;8798.0;;634818.0;1976183.0;106674.0;312791.0
Chad;2019.0;3787305.0;10447980.0;7983000.0;;85409.0;9830796.0;778937.0;4948.0;;1008.0;7003.0;;302375.0;454477.0;2549.0;6577.0
Chile;2019.0;796183.0;247792.0;302867000.0;8393000.0;5260016.0;573438.0;1533613.0;;;6876.0;;;13241.0;208313.0;536011.0;769172.0
China;2019.0;40790633.0;151414501.0;10660781000.0;;544192108.0;165574518.0;75989369.0;;3341045.0;130004.0;28351.0;2659600.0;4835526.0;6646764.0;42553071.0;20760509.0
China (FAO);2019.0;40848804.0;151492255.0;11050548000.0;160000.0;553734735.0;165574531.0;77717771.0;7860.0;3429029.0;130004.0;28351.0;2671752.0;4837510.0;6661420.0;43498280.0;21518359.0
Colombia;2019.0;3410107.0;42967.0;969202000.0;;4827077.0;65944.0;2900865.0;;;3904.0;;;1819.0;776680.0;422077.0;1693178.0
Comoros;2019.0;11036.0;37853.0;729000.0;;;6388.0;2272.0;;;;;;475.0;1214.0;;583.0
Congo;2019.0;37447.0;101478.0;6783000.0;;36700.0;44383.0;58738.0;42800.0;;;;;1518.0;5842.0;1795.0;6783.0
Costa Rica;2019.0;385197.0;1685.0;71522000.0;;1077040.0;983.0;298610.0;;;;;;35.0;88595.0;64980.0;145000.0
Cote d'Ivoire;2019.0;203385.0;807365.0;72789000.0;;271628.0;609349.0;316504.0;151990.0;;;;;16110.0;33559.0;11621.0;74097.0
Croatia;2019.0;183200.0;47900.0;36908000.0;;1604800.0;464200.0;239861.0;;;;;;5840.0;45430.0;120800.0;67791.0
Cuba;2019.0;475000.0;161080.0;18750000.0;;3945800.0;594383.0;363461.0;;;214.0;;;11984.0;80710.0;235153.0;35400.0
Cyprus;2019.0;17250.0;115860.0;13326000.0;32000.0;583020.0;175110.0;81760.0;;0.0;;;;5430.0;5610.0;43350.0;26850.0
Czechia;2019.0;244100.0;34180.0;119335000.0;138000.0;2402590.0;163810.0;467561.0;;;11.0;;;4020.0;74450.0;218610.0;170470.0
Czechoslovakia;1992.0;1150000.0;34500.0;162200000.0;4250000.0;7250000.0;420000.0;1393284.0;;1176.0;150.0;;2646.0;8173.0;318862.0;834493.0;194948.0
Democratic Republic of Congo;2019.0;109072.0;1603596.0;16517000.0;;577439.0;282966.0;242218.0;89081.0;;;;;19431.0;20390.0;26076.0;10406.0
Denmark;2019.0;466900.0;0.0;104182000.0;;16862700.0;70900.0;1786224.0;;1500.0;206.0;;18.0;1600.0;125600.0;1500400.0;158418.0
Djibouti;2019.0;55316.0;183857.0;;;;214224.0;11245.0;;;;696.0;;4532.0;6017.0;;
Dominica;2019.0;3109.0;3417.0;364000.0;;7092.0;1793.0;1416.0;;;;;;66.0;560.0;426.0;364.0
Dominican Republic;2019.0;498711.0;76627.0;208265000.0;;1124613.0;74368.0;500751.0;;;;;;1794.0;64300.0;79943.0;354714.0
Eastern Africa (FAO);2019.0;15927128.0;48266296.0;611597000.0;3294000.0;19436356.0;26462232.0;4810741.0;252946.0;104485.0;6.0;167809.0;12831.0;779254.0;2053418.0;613352.0;907152.0
Eastern Asia (FAO);2019.0;43864939.0;159208665.0;12907130000.0;164000.0;590237720.0;175302592.0;85200064.0;7860.0;3537772.0;204918.0;40897.0;2671765.0;5112485.0;7553856.0;46259117.0;24811412.0
Eastern Europe (FAO);2019.0;14357169.0;2324472.0;5587597000.0;49545000.0;92403460.0;18056207.0;22686298.0;;214208.0;68702.0;143.0;46853.0;305745.0;3098856.0;8315052.0;10436022.0
Ecuador;2019.0;1092186.0;9969.0;156259000.0;969000.0;2265688.0;348198.0;807081.0;;611.0;;;71.0;5227.0;228878.0;240768.0;322136.0
Egypt;2019.0;1386000.0;489000.0;1243942000.0;1690000.0;31000.0;1041000.0;2439520.0;;55000.0;;11493.0;14000.0;54000.0;642000.0;771.0;1642789.0
El Salvador;2019.0;111854.0;5632.0;119977000.0;;143457.0;2433.0;172494.0;;;;;;118.0;18468.0;7126.0;146782.0
Eritrea and Ethiopia;1992.0;2325000.0;7950000.0;96500000.0;;23000.0;8160000.0;559202.0;27630.0;;;11042.0;;149180.0;244000.0;1150.0;77200.0
Estonia;2019.0;36970.0;1090.0;;;558580.0;25250.0;75338.0;;0.0;;;;510.0;9250.0;45290.0;20288.0
Eswatini;2019.0;73228.0;93279.0;6056000.0;;27355.0;34470.0;26221.0;;;;;;2319.0;16478.0;1368.0;6056.0
